insight_type,target_key,week_start,count,mu_nb2,pi_low_nb2,pi_high_nb2,is_anom_nb2,mu_pois,pi_low_pois,pi_high_pois,is_anom_pois,stl_resid,is_anom_stl,prophet_yhat,prophet_yhat_lower,prophet_yhat_upper,is_anom_prophet,is_anom_iforest,z_roll,is_anom_roll,consensus_count,nb2_norm_dist,pois_norm_dist,sum_norm_dist,ensemble_is_anom
risk,ACC-67741,2024-09-03,1,0.6389274005283537,-1.8610725994716462,3.138927400528354,False,0.6369592893163651,-0.8630407106836349,2.136959289316365,False,-1.1102230246251565e-16,False,1.6241479055995787,0.7830318802402696,2.4422652888933722,False,False,0.0,False,0,0.07221451989432925,0.12101357022787829,0.19322809012220754,False
risk,ACC-67741,2024-09-10,3,0.6667478944936558,-1.8332521055063442,3.166747894493656,False,0.6623654342937297,-0.8376345657062703,2.1623654342937297,True,-1.1102230246251565e-16,False,1.7159282879857036,0.8769252828975794,2.525620133655828,True,True,1.8864844365675975,False,3,0.4666504211012688,0.7792115219020901,3.132346379570956,True
risk,ACC-67741,2024-09-17,0,0.6936135045918252,-1.8063864954081748,3.1936135045918252,False,0.6867935354881867,-1.3132064645118133,2.686793535488187,False,-1.1102230246251565e-16,False,0.8199733749017082,-0.04128858085488807,1.6126358926297555,False,False,-0.6030226891555273,False,0,0.13872270091836506,0.17169838387204667,0.913443773945939,False
risk,ACC-67741,2024-09-24,0,0.7189170519110765,-1.7810829480889234,3.2189170519110766,False,0.7097020703405279,-1.290297929659472,2.709702070340528,False,-2.220446049250313e-16,False,-0.13095302412176937,-0.9580336355958236,0.7170697647434511,False,False,-0.7637626158259734,False,0,0.1437834103822153,0.17742551758513198,1.0849715437933205,False
risk,ACC-67741,2024-10-01,0,0.7420415934085065,-1.7579584065914935,3.2420415934085067,False,0.7305460982530361,-1.269453901746964,2.7305460982530363,False,0.0,False,-0.1483533655989192,-0.9693085776616064,0.6780073805501463,False,False,-0.6897304947150052,False,0,0.1484083186817013,0.18263652456325902,1.0207753379599656,False
risk,ACC-67741,2024-10-08,0,0.7623865340827162,-1.737613465917284,3.262386534082716,False,0.7487997266573155,-1.2512002733426844,2.7487997266573156,False,0.0,False,0.7240633569948148,-0.14621394795244125,1.5571560636595436,False,False,-0.6897304947150052,False,0,0.15247730681654323,0.18719993166432888,1.0294077331958773,False
risk,ACC-67741,2024-10-15,3,0.779395996955713,-1.7206040030442868,3.279395996955713,False,0.7639801476937146,-1.2360198523062853,2.7639801476937147,True,0.0,False,1.5020410128694568,0.5991577287015434,2.3079821565228515,True,True,2.5000000000000004,False,3,0.4441208006088574,0.5590049630765713,3.5031257636854294,True
risk,ACC-67741,2024-10-22,0,0.7925873771129324,-1.7074126228870676,3.292587377112932,False,0.7756715261160713,-1.2243284738839288,2.775671526116071,False,0.0,False,1.3805749281736859,0.5697414325749494,2.2176300710909143,True,False,-0.5000000000000001,False,1,0.15851747542258648,0.19391788152901782,0.8524353569516044,False
risk,ACC-67741,2024-10-29,1,0.8015777424039612,-2.1984222575960386,3.8015777424039614,False,0.783546840087804,-1.216453159912196,2.783546840087804,False,-2.220446049250313e-16,False,0.5616451753022366,-0.2575071304483629,1.399969261041699,False,False,0.5000000000000001,False,0,0.03307037626600647,0.05411328997804901,0.5871836662440556,False
risk,ACC-67741,2024-11-05,0,0.8061057426918505,-2.1938942573081492,3.8061057426918508,False,0.7873858061068372,-1.2126141938931627,2.7873858061068373,False,0.0,False,-0.10336779106741867,-0.8840715929677451,0.7142670026870653,False,False,-0.5000000000000001,False,0,0.13435095711530842,0.1968464515267093,0.8311974086420179,False
